Campaign_ID,Year,Month,MonthNum,Quarter,Campaign_Name,Marketing_Channel,Target_Segment,Impressions,Clicks,Leads_Generated,Budget_USD,Revenue_USD,ROI,Quality_Score,Campaign_Status
CMP-90277,2025,June,6,Q2,Q1 Seasonal Product Launch,Social Media Ads,Eco-Conscious Consumers,657817,23041,1205,11540.66,271088.85,22.49,10,Profitable
CMP-90278,2025,August,8,Q3,End of Year Clearance Blitz,Influencer Partnerships,Tech Enthusiasts,640618,14722,878,16015.47,105465.36,5.59,10,Profitable
CMP-90279,2025,September,9,Q3,Customer Retention Campaign,Email Marketing,Corporate Clients,306647,20632,1673,3982.43,100396.73,24.21,6,Profitable
CMP-90280,2025,September,9,Q3,Flash Discount Drive,Google Paid Search,Eco-Conscious Consumers,419265,21054,1178,9317.0,273790.76,28.39,8,Profitable
CMP-90281,2025,February,2,Q1,Q2 Summer Retargeting Wave,Social Media Ads,Corporate Clients,1273663,28507,1113,15532.48,224603.4,13.46,9,Profitable
CMP-90282,2025,November,11,Q4,Flash Discount Drive,Google Paid Search,Young Professionals,365952,9826,298,4255.26,17763.78,3.17,10,Profitable
CMP-90283,2025,April,4,Q2,Q1 Seasonal Product Launch,Google Paid Search,Young Professionals,734530,23730,832,17082.1,81236.48,3.76,7,Profitable
CMP-90284,2025,March,3,Q1,Flash Discount Drive,Social Media Ads,Budget Shoppers,681364,12052,586,16618.64,59121.54,2.56,7,Profitable
CMP-90285,2025,July,7,Q3,Q2 Summer Retargeting Wave,Social Media Ads,Young Professionals,856628,17512,718,18622.36,75770.54,3.07,4,Profitable
CMP-90286,2025,April,4,Q2,Q2 Summer Retargeting Wave,Social Media Ads,Budget Shoppers,1232356,48283,2028,14670.91,354494.4,23.16,6,Profitable
CMP-90287,2025,June,6,Q2,Customer Retention Campaign,Google Paid Search,Corporate Clients,775501,37054,2309,12309.54,298461.34,23.25,8,Profitable
CMP-90288,2025,October,10,Q4,Q2 Summer Retargeting Wave,Affiliate Network,Tech Enthusiasts,341733,11995,886,4556.45,116836.82,24.64,5,Profitable
CMP-90289,2025,October,10,Q4,Q1 Seasonal Product Launch,Social Media Ads,Budget Shoppers,1038615,33857,904,14035.35,201772.8,13.38,4,Profitable
CMP-90290,2025,March,3,Q1,Customer Retention Campaign,Social Media Ads,Corporate Clients,908519,28528,835,17141.88,145757.6,7.5,4,Profitable
CMP-90291,2025,July,7,Q3,Flash Discount Drive,Social Media Ads,Young Professionals,1474425,40000,1485,18902.89,287392.05,14.2,6,Profitable
CMP-90292,2025,October,10,Q4,Brand Awareness Booster,Influencer Partnerships,Budget Shoppers,1282884,36062,3114,17105.13,194811.84,10.39,4,Profitable
CMP-90293,2025,November,11,Q4,Brand Awareness Booster,Social Media Ads,Tech Enthusiasts,486719,16312,614,11871.21,111913.78,8.43,7,Profitable
CMP-90294,2025,March,3,Q1,End of Year Clearance Blitz,Google Paid Search,Eco-Conscious Consumers,515763,16170,754,11461.41,42020.42,2.67,7,Profitable
CMP-90295,2025,February,2,Q1,Q2 Summer Retargeting Wave,Email Marketing,Young Professionals,242382,13737,1245,3231.76,301464.3,92.28,8,Profitable
CMP-90296,2025,September,9,Q3,Q1 Seasonal Product Launch,Social Media Ads,Eco-Conscious Consumers,1007498,15149,485,21436.13,100913.95,3.71,9,Profitable
CMP-90297,2025,August,8,Q3,Customer Retention Campaign,Social Media Ads,Young Professionals,216021,8017,406,5400.53,88353.72,15.36,8,Profitable
CMP-90298,2025,August,8,Q3,Brand Awareness Booster,Google Paid Search,Eco-Conscious Consumers,1122181,27459,1957,14573.79,151980.62,9.43,8,Profitable
CMP-90299,2025,February,2,Q1,Flash Discount Drive,Social Media Ads,Eco-Conscious Consumers,504727,12814,378,12618.19,40684.14,2.22,7,Profitable
CMP-90300,2025,February,2,Q1,Flash Discount Drive,Email Marketing,Budget Shoppers,218282,18765,1591,3578.4,256389.65,70.65,7,Profitable
